longitude,latitude,objectid,inckey,coldetkey,reportno,status,addrtype,intkey,location,exceptrsncode,exceptrsndesc,severitycode,severitydesc,collisiontype,personcount,pedcount,pedcylcount,vehcount,injuries,fatalities,incdate,incdttm,junctiontype,sdot_colcode,sdot_coldesc,inattentionind,underinfl,weather,roadcond,lightcond,pedrownotgrnt,sdotcolnum,speeding,st_colcode,st_coldesc,seglanekey,crosswalkkey,hitparkedcar,seriousinjuries
-122.283443052229,47.5512179527866,198399,278340,279240,E780815,Matched,Intersection,33616.0,39TH AVE S AND S ORCAS ST, ,,1,Property Damage Only Collision,Angles,2,0,0,2,0,0,2018-03-16 00:00:00+00,3/16/2018 10:45:00 AM,At Intersection (intersection related),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,False,Clear or Partly Cloudy,Dry,Daylight,,,,10.0,Entering at angle,0,0,False,0
-122.346920661551,47.6245597699351,198400,278857,279757,E778166,Matched,Block,,MERCER ST BETWEEN 5TH AVE N AND TAYLOR AVE N, ,,1,Property Damage Only Collision,Sideswipe,2,0,0,2,0,0,2018-03-10 00:00:00+00,3/10/2018 5:45:00 PM,Mid-Block (not related to intersection),16,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, LEFT SIDE SIDESWIPE",,True,Clear or Partly Cloudy,Dry,Daylight,,,,11.0,From same direction - both going straight - both moving - sideswipe,0,0,False,0
-122.307297211338,47.6268518468558,198402,278339,279239,E776976,Matched,Intersection,29324.0,19TH AVE E AND E ALOHA ST, ,,2,Injury Collision,Angles,3,0,0,2,2,0,2018-03-08 00:00:00+00,3/8/2018 12:38:00 PM,At Intersection (intersection related),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",True,False,Raining,Wet,Daylight,,,,10.0,Entering at angle,0,0,False,0
-122.290145749721,47.6626343740271,198419,279897,280797,3738690,Matched,Intersection,26252.0,35TH AVE NE AND NE 45TH PL, ,,1,Property Damage Only Collision,Other,1,0,0,1,0,0,2018-04-01 00:00:00+00,4/1/2018 3:16:00 AM,At Intersection (intersection related),28,MOTOR VEHICLE RAN OFF ROAD - HIT FIXED OBJECT,,False,Clear or Partly Cloudy,Dry,Dark - Street Lights On,,,,50.0,Fixed object,0,0,False,0
-122.334831581187,47.522783538095,198403,273560,274400,3742238,Matched,Block,,1ST AVE S BETWEEN 1ST AVS ON S RP AND OLSON PL SW, ,,2,Injury Collision,Rear Ended,2,0,0,2,1,0,2018-02-09 00:00:00+00,2/9/2018 11:18:00 PM,Mid-Block (but intersection related),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",True,False,Clear or Partly Cloudy,Wet,Dark - Street Lights On,,,,14.0,From same direction - both going straight - one stopped - rear-end,0,0,False,0
-122.359781505459,47.5282839858807,198404,273559,274399,3742114,Matched,Block,,SW THISTLE ST BETWEEN 20TH AVE SW AND DELRIDGE WAY SW, ,,1,Property Damage Only Collision,Parked Car,2,0,0,2,0,0,2018-02-03 00:00:00+00,2/3/2018 6:30:00 AM,Mid-Block (not related to intersection),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,False,Raining,Wet,Dark - Street Lights On,,,,32.0,One parked--one moving,0,0,True,0
-122.346085214613,47.5392476512443,198405,273558,274398,3742042,Matched,Block,,HIGHLAND PARK WAY SW BETWEEN WEST MARGINAL WAY SW AND SW OTHELLO ST, ,,1,Property Damage Only Collision,Other,1,0,0,1,0,0,2018-02-04 00:00:00+00,2/4/2018 1:47:00 PM,Mid-Block (not related to intersection),28,MOTOR VEHICLE RAN OFF ROAD - HIT FIXED OBJECT,,False,Clear or Partly Cloudy,Wet,Daylight,,,,50.0,Fixed object,0,0,False,0
-122.360479871378,47.6768692075437,198406,277217,278117,3754401,Matched,Block,,3RD AVE NW BETWEEN NW 65TH ST AND NW 67TH ST, ,,1,Property Damage Only Collision,Parked Car,2,0,0,2,0,0,2018-03-14 00:00:00+00,3/14/2018 6:10:00 PM,Mid-Block (not related to intersection),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",,False,Clear or Partly Cloudy,Dry,Daylight,,,,32.0,One parked--one moving,0,0,True,0
-122.361986784138,47.686201079632,198407,277197,278097,3754381,Matched,Block,,NW 79TH ST BETWEEN 3RD AVE NW AND 6TH AVE NW, ,,1,Property Damage Only Collision,Parked Car,2,0,0,2,0,0,2018-03-09 00:00:00+00,3/9/2018 8:10:00 AM,Mid-Block (not related to intersection),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",,False,Clear or Partly Cloudy,Dry,Daylight,,,,32.0,One parked--one moving,0,0,True,0
-122.293633055724,47.5461926231626,198408,273017,273857,E772463,Matched,Intersection,33292.0,30TH AVE S AND S GRAHAM ST, ,,1,Property Damage Only Collision,Other,1,0,0,1,0,0,2018-02-13 00:00:00+00,2/13/2018 10:05:00 PM,At Intersection (intersection related),26,MOTOR VEHICLE STRUCK OBJECT IN ROAD,,False,Raining,Wet,Dark - No Street Lights,True,,,48.0,"Domestic animal other (cat, dog, etc)",0,0,False,0
